FID,Metro_Buff,CBG_id,Num_Metro,Bus_Buff,Num_Bus,Centroid_X,Centroid_Y,BlockGroup,BikeLength
1089,1,360610173004,0,1,1,188.031248263000010,42.882255789299997,0.008574910631950,0.613473351966000
1090,1,360610177004,0,1,0,187.923458288000010,42.998323765099997,0.006386034451040,0.613473351966000
1091,1,360610143001,5,1,58,188.217524002999990,42.491533196900001,1.374259270590000,0.613473351966000
1092,1,360610173003,0,1,2,187.869898885000000,42.943020456900001,0.016913437103600,0.613473351966000
1093,1,360610177003,0,1,2,187.914147299000010,43.048794085300003,0.010404899213000,0.613473351966000
1094,1,360610177005,0,1,1,188.084951001000010,42.955081604000000,0.010260758539200,0.613473351966000
1095,1,360610177006,0,1,0,188.038300209999990,42.934814315600001,0.006443451792630,0.613473351966000
1096,1,360610179003,0,1,1,187.652199179000010,43.175449917199998,0.009381803969090,0.613473351966000
1097,1,360610179005,0,1,1,187.731442866000010,43.132666405899997,0.008442199048430,0.613473351966000
1098,1,360610179007,0,1,1,187.806012688000010,43.091410575300003,0.008418986250830,0.613473351966000
1099,1,360610177004,0,1,0,187.923458288000010,42.998323765099997,0.006386034451040,0.604139333422000
1100,1,360610143001,5,1,58,188.217524002999990,42.491533196900001,1.374259270590000,0.604139333422000
1101,1,360610177003,0,1,2,187.914147299000010,43.048794085300003,0.010404899213000,0.604139333422000
1102,1,360610177005,0,1,1,188.084951001000010,42.955081604000000,0.010260758539200,0.604139333422000
1103,1,360610177006,0,1,0,188.038300209999990,42.934814315600001,0.006443451792630,0.604139333422000
1104,1,360610179003,0,1,1,187.652199179000010,43.175449917199998,0.009381803969090,0.604139333422000
1105,1,360610179005,0,1,1,187.731442866000010,43.132666405899997,0.008442199048430,0.604139333422000
1106,1,360610179007,0,1,1,187.806012688000010,43.091410575300003,0.008418986250830,0.604139333422000
1107,1,360610163003,0,1,0,187.382692615000000,42.508066805699997,0.008021548531360,0.605718311517000
1108,1,360610163005,0,1,1,187.443147270000000,42.431745408200001,0.015597512046600,0.605718311517000
1109,1,360610165001,0,1,5,187.784017299999990,42.436901676500000,0.043451573041700,0.605718311517000
1110,1,360610161001,0,1,2,187.572028280000010,42.405530898000002,0.017069855429600,0.605718311517000
1111,1,360610163001,0,1,3,187.194693191000000,42.544193399800001,0.056996117123500,0.605718311517000
1112,1,360610163003,0,1,0,187.382692615000000,42.508066805699997,0.008021548531360,0.428398935648000
1113,1,360610163005,0,1,1,187.443147270000000,42.431745408200001,0.015597512046600,0.428398935648000
1114,1,360610161001,0,1,2,187.572028280000010,42.405530898000002,0.017069855429600,0.428398935648000
1115,1,360610163001,0,1,3,187.194693191000000,42.544193399800001,0.056996117123500,0.428398935648000
1116,0,360610002021,0,1,4,187.307181944000010,37.760782069900003,0.021257338880100,0.714680431906000
1117,0,360610010011,0,1,4,187.587149184999990,37.793953929300002,0.030639017029600,0.714680431906000
1118,0,360610012002,0,1,1,187.357687817000000,37.884527811300003,0.014250647448400,0.714680431906000
1119,0,360610012003,0,1,1,187.446173972000000,37.850275441900003,0.013940757350900,0.714680431906000
1120,1,360610014011,0,1,2,187.014878984000010,37.854083491399997,0.022024566523600,0.714680431906000
1121,1,360610014012,0,1,2,187.172198111000000,37.834328285900000,0.014086763589300,0.714680431906000
1122,1,360610012001,0,1,1,187.274060166999990,37.944367286000002,0.018392779923200,0.714680431906000
1123,0,360610106015,0,1,0,188.353360950000000,40.680495219100003,0.006566932479580,0.140272188836000
1124,0,360610086031,0,1,0,188.341220397000000,40.631649502700000,0.007947391613060,0.140272188836000
1125,0,360610106015,0,1,0,188.353360950000000,40.680495219100003,0.006566932479580,0.140272188836000
1126,0,360610086031,0,1,0,188.341220397000000,40.631649502700000,0.007947391613060,0.140272188836000
1127,1,360610098005,0,1,0,188.208756781999990,40.704023675400002,0.006980948349570,0.140272188836000
1128,0,360610022021,0,1,3,187.400997340999990,38.267351415699999,0.021655530584500,0.631306637600000
1129,0,360610026011,0,1,3,187.526430621999990,38.324589683699998,0.020595844675800,0.631306637600000
1130,0,360610026021,0,1,2,187.595421784000000,38.449075344400001,0.020138820158200,0.631306637600000
1131,0,360610028004,0,1,5,187.686085724000010,38.629376019699997,0.029452090856500,0.631306637600000
1132,1,360610255003,0,1,1,189.470444810999990,46.813318669700003,0.009251390927010,0.387322847467000
1133,1,360610255001,0,1,1,189.314258165000010,46.836519057799997,0.135612432714000,0.387322847467000
1134,1,360610255002,0,1,2,189.496217623000010,46.941298157900000,0.020790097128600,0.387322847467000
1135,1,360610255004,0,1,1,189.438564616000010,46.701487458099997,0.008323393128490,0.387322847467000
1136,1,360610040004,0,1,1,187.154095004999990,38.800439798699998,0.006569826327390,0.940014198271000
1137,1,360610061002,0,1,0,186.814573233999990,39.067870767899997,0.011878026030300,0.940014198271000
1138,1,360610034003,0,1,3,187.298130442000000,38.776582075000000,0.019185913511600,0.940014198271000
1139,1,360610040003,0,1,3,187.044792118999990,38.888221820200002,0.012555786462800,0.940014198271000
1140,1,360610042002,0,1,7,186.934535587999990,38.893393558400000,0.013646230019400,0.940014198271000
1141,1,360610061001,0,1,1,186.745394250999990,39.172014707899997,0.021857100394100,0.940014198271000
1142,1,360610061003,1,1,4,186.883804615000000,39.111613225900001,0.021119170323000,0.940014198271000
1143,1,360610063002,0,1,2,186.586783716000010,39.196863958999998,0.018942869408500,0.940014198271000
1144,1,360610038001,0,1,4,186.987868636000000,38.785499610000002,0.018993936254700,0.961777785357000
1145,1,360610040004,0,1,1,187.154095004999990,38.800439798699998,0.006569826327390,0.961777785357000
1146,1,360610059001,0,1,1,186.667986638000000,39.043568972499997,0.009057027209060,0.961777785357000
1147,1,360610059004,0,1,0,186.759895763000000,38.965453030500001,0.006710689157530,0.961777785357000
1148,1,360610034003,0,1,3,187.298130442000000,38.776582075000000,0.019185913511600,0.961777785357000
1149,1,360610038007,0,1,0,187.119830608000000,38.738566006399999,0.013511159169400,0.961777785357000
1150,1,360610042002,0,1,7,186.934535587999990,38.893393558400000,0.013646230019400,0.961777785357000
1151,1,360610057001,2,1,3,186.861766956999990,38.914840175700000,0.010497754151700,0.961777785357000
1152,1,360610063004,0,1,0,186.530892929000000,39.090903628699998,0.008472448142920,0.961777785357000
1153,1,360610063003,0,1,3,186.549909719000000,39.133307730100000,0.009441002424380,0.961777785357000
1154,1,360610143001,5,1,58,188.217524002999990,42.491533196900001,1.374259270590000,2.423515956530000
1155,1,360610193001,0,1,2,188.541930787000010,43.718550747700000,0.008220800217470,2.423515956530000
1156,1,360610216004,0,1,2,188.751832831000000,43.831297753400001,0.016916499925300,0.515072956049000
1157,1,360610216005,0,1,2,188.703848413000000,43.745592744600003,0.016581268760200,0.515072956049000
1158,1,360610218003,0,1,1,188.800796171000000,43.919744143300001,0.017558799637800,0.515072956049000
1159,1,360610218004,1,1,4,188.850659965999990,44.009821260599999,0.017540690195800,0.515072956049000
1160,1,360610220004,0,1,2,188.880016608000010,44.103107022499998,0.012334272882100,0.515072956049000
1161,0,360610178001,0,1,2,189.919724492999990,43.505926155200001,0.020360504965200,1.277732157990000
1162,1,360610182003,0,1,2,189.538275770000010,43.626419781599999,0.019862297309400,1.277732157990000
1163,1,360610182002,0,1,1,189.479784104999990,43.720159181200003,0.009629936528000,1.277732157990000
1164,1,360610184001,0,1,4,189.349964634999990,43.750265360199997,0.029617530497400,1.277732157990000
1165,1,360610188001,0,1,0,189.786024214000010,43.550433029600001,0.014066484220900,1.277732157990000
1166,1,360610188004,0,1,2,189.665174642000010,43.617495995200002,0.013342299745000,1.277732157990000
